apt_seq,name,flag,converted_on,note,reviewed_on
28177-6128,도화서희스타힐스,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2025-09-26 전 전월세 289건(월 5.1건). 후보 묶음 일괄 승인(사용자),2026-09-25
41150-2293,엘에이치휴스토리,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2024-06-04 전 전월세 287건(월 7.1건). 후보 묶음 일괄 승인(사용자),2026-09-25
41194-10704,엘에이치옥길센트럴힐,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-05-19 전 전월세 265건(월 5.2건). 후보 묶음 일괄 승인(사용자),2026-09-25
11140-1300,서울역센트럴자이,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2022-01-17 전 전월세 263건(월 21.4건). 후보 묶음 일괄 승인(사용자),2026-09-25
11680-3965,강남신동아파밀리에1단지,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2023-04-24 전 전월세 259건(월 9.6건). 후보 묶음 일괄 승인(사용자),2026-09-25
41461-2304,역북2단지우남퍼스트빌,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2022-06-25 전 전월세 257건(월 15.9건). 후보 묶음 일괄 승인(사용자),2026-09-25
41450-369,미사강변리슈빌엔에이치에프,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2024-09-03 전 전월세 255건(월 6.3건). 후보 묶음 일괄 승인(사용자),2026-09-25
28237-5115,래미안부평(임대),sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-06-14 전 전월세 238건(월 4.5건). 후보 묶음 일괄 승인(사용자),2026-09-25
28185-807,송도더샵파크애비뉴,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2022-12-10 전 전월세 205건(월 9.0건). 후보 묶음 일괄 승인(사용자),2026-09-25
41150-2215,엘에이치브라운빌리지,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-09-02 전 전월세 196건(월 3.5건). 후보 묶음 일괄 승인(사용자),2026-09-25
28260-112,진주1,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2022-10-17 전 전월세 165건(월 7.7건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1773,모아미래도에듀파크서봉마을4단지,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2024-05-15 전 전월세 160건(월 5.2건). 후보 묶음 일괄 승인(사용자),2026-09-25
28200-5202,엘에이치청아안,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2022-04-01 전 전월세 46건(월 3.1건). 후보 묶음 일괄 승인(사용자),2026-09-25
